customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,risk_level,main_risk_factors,recommended_action
5334-GMH,Female,1,Yes,No,9,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.91,908.65,1,0.95571223748754,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
1297-RGP,Female,1,No,No,5,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,74.56,346.05,1,0.9497291931483861,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
3010-LCE,Female,1,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,92.64,716.85,1,0.947498300323223,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
4739-QLM,Female,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,88.7,179.88,1,0.944199105480325,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
7512-MRX,Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.36,1359.05,1,0.9424224562409379,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
2992-KJL,Male,1,No,No,1,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.88,68.34,1,0.9406274654875376,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Fiber optic利用で料金・品質不満の可能性,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
7193-YKN,Female,1,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,80.04,251.65,1,0.9390709236861485,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
3386-ILB,Male,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.33,252.8,1,0.9368128368928706,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
9893-LYH,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,98.44,401.2,1,0.935311624784182,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
5395-YEL,Female,1,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,61.62,149.35,0,0.9346221693706759,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
2609-NRI,Male,1,Yes,No,5,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,97.09,498.56,0,0.9325532491305015,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
7538-ENP,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,113.29,944.2,1,0.9323229151837978,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
4013-UPC,Female,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,99.55,793.43,1,0.9321341585598603,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
6064-KAS,Male,1,Yes,No,5,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,89.8,412.51,1,0.9300285157292172,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
1056-JUZ,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,101.83,369.54,1,0.9298514531594488,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
2291-LHZ,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),105.24,397.72,1,0.9298101761004791,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
5565-LGG,Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.27,0.0,1,0.9284499305739042,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
6283-LYQ,Male,1,No,No,13,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,97.61,1244.78,0,0.9284490365222987,High,月額契約で解約しやすい / 月額料金が高い / TechSupport未加入 / OnlineSecurity未加入 / Fiber optic利用で料金・品質不満の可能性,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / サポート加入キャンペーン: 初月無料のTechSupportを提案する
8373-FCU,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.39,618.39,1,0.9277052446856848,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
3036-FNS,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.6,106.01,1,0.9268125185556995,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
3791-BMS,Male,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,93.71,0.0,1,0.9256337907638782,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
3400-RZI,Female,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,103.63,532.28,1,0.9256209135813267,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
6956-DMG,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),84.18,634.32,1,0.9246211089751475,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
4012-AER,Female,1,No,No,5,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),63.8,223.3,1,0.9230360591614296,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Fiber optic利用で料金・品質不満の可能性,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
4187-HNR,Male,1,No,Yes,2,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.17,179.89,1,0.9228404850974472,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
6556-YLN,Male,0,No,No,13,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.98,1196.96,0,0.9225113624784234,High,月額契約で解約しやすい / 月額料金が高い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / サポート加入キャンペーン: 初月無料のTechSupportを提案する
8565-LAZ,Male,1,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,98.37,2233.66,1,0.9222362686544663,High,月額契約で解約しやすい / 月額料金が高い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / サポート加入キャンペーン: 初月無料のTechSupportを提案する
9169-HXN,Male,1,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.45,1216.01,1,0.9220670318149203,High,月額契約で解約しやすい / 月額料金が高い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / サポート加入キャンペーン: 初月無料のTechSupportを提案する
9833-SXP,Male,1,No,No,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,84.98,47.05,1,0.9213034047660309,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
