customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8813-SWT,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),75.52,438.15,Yes
1540-RFB,Female,0,No,No,56,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,27.98,1554.19,No
7513-KVS,Female,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,53.16,2508.58,No
2645-IUO,Male,0,Yes,No,32,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.55,1974.14,Yes
3055-SRX,Female,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.29,1297.68,No
5659-VUF,Female,0,No,Yes,62,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.46,4919.96,No
4895-MFP,Male,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,75.2,442.58,Yes
8400-BYV,Male,0,No,No,50,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.19,3409.8,No
6617-WWY,Female,1,Yes,No,14,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,61.05,858.2,Yes
1198-XOU,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.96,229.09,No
4468-LSK,Male,1,No,No,38,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,58.41,2237.71,No
3958-DAW,Female,0,Yes,No,71,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,95.55,6801.73,No
5252-HPZ,Female,0,Yes,No,53,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,88.41,4680.67,Yes
